financial_year,town_or_estate,hdb_or_dbss,status,no_of_units
2013,Punggol,HDB,Completed,2238
2013,Punggol,DBSS,Under Construction,0
2013,Punggol,DBSS,Completed,0
2013,Queenstown,HDB,Under Construction,2897
2013,Queenstown,HDB,Completed,557
2013,Queenstown,DBSS,Under Construction,0
2013,Queenstown,DBSS,Completed,0
2013,Sembawang,HDB,Under Construction,3076
2013,Sembawang,HDB,Completed,1434
2013,Sembawang,DBSS,Under Construction,0
2013,Sembawang,DBSS,Completed,0
2013,Sengkang,HDB,Under Construction,12644
2013,Sengkang,HDB,Completed,3378
2013,Sengkang,DBSS,Under Construction,0
2013,Sengkang,DBSS,Completed,0
2013,Serangoon,HDB,Under Construction,195
2013,Serangoon,HDB,Completed,0
2013,Serangoon,DBSS,Under Construction,0
2013,Serangoon,DBSS,Completed,0
2013,Tampines,HDB,Under Construction,2680
2013,Tampines,HDB,Completed,849
2013,Tampines,DBSS,Under Construction,708
2013,Tampines,DBSS,Completed,0
2013,Toa Payoh,HDB,Under Construction,1443
2013,Toa Payoh,HDB,Completed,0
2013,Toa Payoh,DBSS,Under Construction,0
2013,Toa Payoh,DBSS,Completed,0
2013,Woodlands,HDB,Under Construction,3317
2013,Woodlands,HDB,Completed,1924
2013,Woodlands,DBSS,Under Construction,0
2013,Woodlands,DBSS,Completed,0
2013,Yishun,HDB,Under Construction,7596
2013,Yishun,HDB,Completed,2904
2013,Yishun,DBSS,Under Construction,0
2013,Yishun,DBSS,Completed,806
2014,Ang Mo Kio,HDB,Under Construction,1571
2014,Ang Mo Kio,HDB,Completed,256
2014,Ang Mo Kio,DBSS,Under Construction,0
2014,Ang Mo Kio,DBSS,Completed,0
2014,Bedok,HDB,Under Construction,2162
2014,Bedok,HDB,Completed,423
2014,Bedok,DBSS,Under Construction,0
2014,Bedok,DBSS,Completed,488
2014,Bishan,HDB,Under Construction,408
2014,Bishan,HDB,Completed,0
2014,Bishan,DBSS,Under Construction,0
2014,Bishan,DBSS,Completed,0
2014,Bukit Batok,HDB,Under Construction,8340
2014,Bukit Batok,HDB,Completed,700
2014,Bukit Batok,DBSS,Under Construction,0
2014,Bukit Batok,DBSS,Completed,0
2014,Bukit Merah,HDB,Under Construction,3622
2014,Bukit Merah,HDB,Completed,2966
2014,Bukit Merah,DBSS,Under Construction,0
2014,Bukit Merah,DBSS,Completed,0
2014,Bukit Panjang,HDB,Under Construction,862
2014,Bukit Panjang,HDB,Completed,1136
2014,Bukit Panjang,DBSS,Under Construction,0
2014,Bukit Panjang,DBSS,Completed,0
2014,Bukit Timah,HDB,Under Construction,132
2014,Bukit Timah,HDB,Completed,0
2014,Bukit Timah,DBSS,Under Construction,0
2014,Bukit Timah,DBSS,Completed,0
2014,Central Area,HDB,Under Construction,0
2014,Central Area,HDB,Completed,0
2014,Central Area,DBSS,Under Construction,0
2014,Central Area,DBSS,Completed,0
2014,Choa Chu Kang,HDB,Under Construction,6508
2014,Choa Chu Kang,HDB,Completed,0
2014,Choa Chu Kang,DBSS,Under Construction,0
2014,Choa Chu Kang,DBSS,Completed,0
2014,Clementi,HDB,Under Construction,1464
2014,Clementi,HDB,Completed,0
2014,Clementi,DBSS,Under Construction,0
2014,Clementi,DBSS,Completed,888
2014,Geylang,HDB,Under Construction,1559
2014,Geylang,HDB,Completed,0
2014,Geylang,DBSS,Under Construction,0
2014,Geylang,DBSS,Completed,0
2014,Hougang,HDB,Under Construction,3408
2014,Hougang,HDB,Completed,1340
2014,Hougang,DBSS,Under Construction,0
2014,Hougang,DBSS,Completed,680
2014,Jurong East,HDB,Under Construction,518
2014,Jurong East,HDB,Completed,0
2014,Jurong East,DBSS,Under Construction,0
2014,Jurong East,DBSS,Completed,0
2014,Jurong West,HDB,Under Construction,4118
2014,Jurong West,HDB,Completed,750
2014,Jurong West,DBSS,Under Construction,0
2014,Jurong West,DBSS,Completed,682
2014,Kallang/Whampoa,HDB,Under Construction,4191
2014,Kallang/Whampoa,HDB,Completed,0
2014,Kallang/Whampoa,DBSS,Under Construction,0
2014,Kallang/Whampoa,DBSS,Completed,0
2014,Marine Parade,HDB,Under Construction,0
2014,Marine Parade,HDB,Completed,0
2014,Marine Parade,DBSS,Under Construction,0
2014,Marine Parade,DBSS,Completed,0
2014,Pasir Ris,HDB,Under Construction,0
2014,Pasir Ris,HDB,Completed,1386
2014,Pasir Ris,DBSS,Under Construction,447
2014,Pasir Ris,DBSS,Completed,0
2014,Punggol,HDB,Under Construction,14394
2014,Punggol,HDB,Completed,4638
2014,Punggol,DBSS,Under Construction,0
2014,Punggol,DBSS,Completed,0
2014,Queenstown,HDB,Under Construction,2139
2014,Queenstown,HDB,Completed,758
2014,Queenstown,DBSS,Under Construction,0
2014,Queenstown,DBSS,Completed,0
2014,Sembawang,HDB,Under Construction,6847
2014,Sembawang,HDB,Completed,456
2014,Sembawang,DBSS,Under Construction,0
2014,Sembawang,DBSS,Completed,0
2014,Sengkang,HDB,Under Construction,7619
2014,Sengkang,HDB,Completed,6039
2014,Sengkang,DBSS,Under Construction,0
2014,Sengkang,DBSS,Completed,0
2014,Serangoon,HDB,Under Construction,345
2014,Serangoon,HDB,Completed,0
2014,Serangoon,DBSS,Under Construction,0
2014,Serangoon,DBSS,Completed,0
2014,Tampines,HDB,Under Construction,4159
2014,Tampines,HDB,Completed,1366
2014,Tampines,DBSS,Under Construction,0
2014,Tampines,DBSS,Completed,708
2014,Toa Payoh,HDB,Under Construction,2000
2014,Toa Payoh,HDB,Completed,0
2014,Toa Payoh,DBSS,Under Construction,0
2014,Toa Payoh,DBSS,Completed,0
2014,Woodlands,HDB,Under Construction,7267
2014,Woodlands,HDB,Completed,687
2014,Woodlands,DBSS,Under Construction,0
2014,Woodlands,DBSS,Completed,0
2014,Yishun,HDB,Under Construction,7167
2014,Yishun,HDB,Completed,3822
2014,Yishun,DBSS,Under Construction,0
2014,Yishun,DBSS,Completed,0
2015,Ang Mo Kio,HDB,Under Construction,1571
2015,Ang Mo Kio,HDB,Completed,0
2015,Ang Mo Kio,DBSS,Under Construction,0
2015,Ang Mo Kio,DBSS,Completed,0
2015,Bedok,HDB,Under Construction,1058
2015,Bedok,HDB,Completed,1104
2015,Bedok,DBSS,Under Construction,0
2015,Bedok,DBSS,Completed,0
2015,Bishan,HDB,Under Construction,408
2015,Bishan,HDB,Completed,0
2015,Bishan,DBSS,Under Construction,0
2015,Bishan,DBSS,Completed,0
2015,Bukit Batok,HDB,Under Construction,10494
2015,Bukit Batok,HDB,Completed,224
2015,Bukit Batok,DBSS,Under Construction,0
2015,Bukit Batok,DBSS,Completed,0
2015,Bukit Merah,HDB,Under Construction,3282
2015,Bukit Merah,HDB,Completed,340
2015,Bukit Merah,DBSS,Under Construction,0
2015,Bukit Merah,DBSS,Completed,0
2015,Bukit Panjang,HDB,Under Construction,0
2015,Bukit Panjang,HDB,Completed,862
2015,Bukit Panjang,DBSS,Under Construction,0
2015,Bukit Panjang,DBSS,Completed,0
2015,Bukit Timah,HDB,Under Construction,0
2015,Bukit Timah,HDB,Completed,132
2015,Bukit Timah,DBSS,Under Construction,0
2015,Bukit Timah,DBSS,Completed,0
2015,Central Area,HDB,Under Construction,0
2015,Central Area,HDB,Completed,0
2015,Central Area,DBSS,Under Construction,0
2015,Central Area,DBSS,Completed,0
2015,Choa Chu Kang,HDB,Under Construction,2602
2015,Choa Chu Kang,HDB,Completed,4032
2015,Choa Chu Kang,DBSS,Under Construction,0
2015,Choa Chu Kang,DBSS,Completed,0
2015,Clementi,HDB,Under Construction,1849
2015,Clementi,HDB,Completed,0
2015,Clementi,DBSS,Under Construction,0
2015,Clementi,DBSS,Completed,0
2015,Geylang,HDB,Under Construction,1334
2015,Geylang,HDB,Completed,975
2015,Geylang,DBSS,Under Construction,0
2015,Geylang,DBSS,Completed,0
2015,Hougang,HDB,Under Construction,4039
2015,Hougang,HDB,Completed,878
2015,Hougang,DBSS,Under Construction,0
2015,Hougang,DBSS,Completed,0
2015,Jurong East,HDB,Under Construction,225
2015,Jurong East,HDB,Completed,518
2015,Jurong East,DBSS,Under Construction,0
2015,Jurong East,DBSS,Completed,0
2015,Jurong West,HDB,Under Construction,3770
2015,Jurong West,HDB,Completed,348
2015,Jurong West,DBSS,Under Construction,0
2015,Jurong West,DBSS,Completed,0
2015,Kallang/Whampoa,HDB,Under Construction,3565
2015,Kallang/Whampoa,HDB,Completed,626
2015,Kallang/Whampoa,DBSS,Under Construction,0
2015,Kallang/Whampoa,DBSS,Completed,0
2015,Marine Parade,HDB,Under Construction,0
2015,Marine Parade,HDB,Completed,0
2015,Marine Parade,DBSS,Under Construction,0
2015,Marine Parade,DBSS,Completed,0
2015,Pasir Ris,HDB,Under Construction,0
2015,Pasir Ris,HDB,Completed,0
2015,Pasir Ris,DBSS,Under Construction,0
2015,Pasir Ris,DBSS,Completed,447
2015,Punggol,HDB,Under Construction,12279
2015,Punggol,HDB,Completed,6232
2015,Punggol,DBSS,Under Construction,0
2015,Punggol,DBSS,Completed,0
2015,Queenstown,HDB,Under Construction,4887
2015,Queenstown,HDB,Completed,960
2015,Queenstown,DBSS,Under Construction,0
2015,Queenstown,DBSS,Completed,0
2015,Sembawang,HDB,Under Construction,7888
2015,Sembawang,HDB,Completed,0
